property_type,state,region,lat,lon,area_m2,price_brl
apartment,Pernambuco,Northeast,-8.134.204,-34.906.326,72.0,414222.98
apartment,Pernambuco,Northeast,-81.266.642,-34.903.924,136.0,848408.53
apartment,Pernambuco,Northeast,-81.255.503,-34.907.601,75.0,299438.28
apartment,Pernambuco,Northeast,-81.202.489,-3.489.592,187.0,848408.53
apartment,Pernambuco,Northeast,-8.142.666,-34.906.906,80.0,464129.36
apartment,Pernambuco,Northeast,-81.376.709,-34.913.349,94.0,294447.66
apartment,Pernambuco,Northeast,-81.415.992,-34.909.179,80.0,314410.19
apartment,Pernambuco,Northeast,-81.273.367,-34.902.712,54.0,419213.6
apartment,Pernambuco,Northeast,-81.092.891,-34.907.094,,349344.66
apartment,Pernambuco,Northeast,-81.092.891,-34.907.094,63.0,449157.45
apartment,Pernambuco,Northeast,-81.267.642,-34.903.425,105.0,548970.21
apartment,Pernambuco,Northeast,-81.109.179,-34.898.785,88.0,369307.22
apartment,Pernambuco,Northeast,-8.140.095,-3.490.444,167.0,998127.67
apartment,Pernambuco,Northeast,-81.272.168,-3.489.868,170.0,848408.53
apartment,Pernambuco,Northeast,-81.170.788,-34.899.475,,419213.6
apartment,Pernambuco,Northeast,-81.411.081,-3.490.887,64.0,339363.39
apartment,Pernambuco,Northeast,-81.205.721,-34.900.301,81.0,369307.22
apartment,Pernambuco,Northeast,-81.255.503,-34.907.601,72.0,359325.95
apartment,Pernambuco,Northeast,-81.311.923,-34.905.777,83.0,389269.77
apartment,Pernambuco,Northeast,-81.286.491,-34.906.648,,399251.07
apartment,Pernambuco,Northeast,-81.092.891,-34.907.094,63.0,329382.13
apartment,Pernambuco,Northeast,-81.092.891,-34.907.094,73.0,399251.07
apartment,Pernambuco,Northeast,-81.381.022,-34.904.297,88.0,479101.27
apartment,Pernambuco,Northeast,-81.135.593,-34.899.778,109.0,289457.01
apartment,Pernambuco,Northeast,-81.201.808,-34.901.596,80.0,379288.51
apartment,Pernambuco,Northeast,-81.421.058,-34.906.731,104.0,568932.77
apartment,Pernambuco,Northeast,-81.260.517,-34.902.553,73.0,349344.66
apartment,Pernambuco,Northeast,-81.384.551,-34.909.165,69.0,394260.42
apartment,Pernambuco,Northeast,-81.211.048,-34.907.255,90.0,379288.51
apartment,Pernambuco,Northeast,-81.100.714,-34.893.698,183.0,1522144.71
apartment,Pernambuco,Northeast,-8.126.948,-34.905.159,98.0,598876.59
apartment,Pernambuco,Northeast,-8.108.315,-34.898.277,,1427322.56
apartment,Pernambuco,Northeast,-8.109.441,-34.898.106,130.0,908296.17
apartment,Pernambuco,Northeast,-8.109.441,-34.898.106,,628820.41
apartment,Pernambuco,Northeast,-8.109.441,-34.898.106,128.0,958202.55
apartment,Pernambuco,Northeast,-8.109.441,-34.898.106,130.0,778539.59
apartment,Pernambuco,Northeast,-8.109.441,-34.898.106,100.0,718651.91
apartment,Pernambuco,Northeast,-8.109.441,-34.898.106,128.0,938240.02
apartment,Pernambuco,Northeast,-8.046.015,-34.910.507,55.0,369307.22
apartment,Pernambuco,Northeast,-8.086.438,-3.489.069,,444166.8
apartment,Pernambuco,Northeast,-80.415.623,-349.416.901,60.0,309419.57
apartment,Pernambuco,Northeast,-8.040.035,-34.899.654,182.0,1497191.5
apartment,Pernambuco,Northeast,-8.046.015,-34.910.507,55.0,389269.77
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,133.0,873361.7
apartment,Pernambuco,Northeast,-8.033.291,-34.898.014,113.0,918277.46
apartment,Pernambuco,Northeast,-8.048.381,-34.908.379,123.0,798502.15
apartment,Pernambuco,Northeast,-802.765,-34.920.338,105.0,828445.97
apartment,Pernambuco,Northeast,-80.332.786,-349.069.915,,798502.15
apartment,Pernambuco,Northeast,-80.332.786,-349.069.915,180.0,798502.15
apartment,Pernambuco,Northeast,-8.094.985,-34.892.761,160.0,1497191.5
apartment,Pernambuco,Northeast,-8.021.971,-34.931.366,,948221.29
apartment,Pernambuco,Northeast,-80.330.615,-348.950.223,160.0,1247659.6
apartment,Pernambuco,Northeast,-803.145,-34.917.198,55.0,239550.63
apartment,Pernambuco,Northeast,-8.126.271,-34.903.793,240.0,998127.67
apartment,Pernambuco,Northeast,-80.288.008,-349.190.997,155.0,988146.4
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,117.0,638801.71
apartment,Pernambuco,Northeast,-80.124.263,-349.074.499,238.0,1048034.05
apartment,Pernambuco,Northeast,-8.048.381,-34.908.379,167.0,598876.59
apartment,Pernambuco,Northeast,-8.085.706,-34.890.419,71.0,379288.51
apartment,Pernambuco,Northeast,-8.032.375,-34.906.925,,429194.89
apartment,Pernambuco,Northeast,-8.032.375,-34.906.925,61.0,449157.45
house,Pernambuco,Northeast,-8.027.666,-34.881.813,160.0,578914.03
apartment,Pernambuco,Northeast,-8.040.233,-34.898.281,82.0,529007.65
apartment,Pernambuco,Northeast,-8.035.595,-34.921.719,,1397378.74
apartment,Pernambuco,Northeast,-80.295.901,-34.909.819,210.0,808483.41
apartment,Pernambuco,Northeast,-8.048.997,-3.491.011,175.0,798502.15
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,62.0,359325.95
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,62.0,369307.22
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,,349344.66
apartment,Pernambuco,Northeast,-8.021.971,-34.931.366,150.0,998127.67
apartment,Pernambuco,Northeast,-8.047.531,-349.142.641,,314410.19
apartment,Pernambuco,Northeast,-80.294.182,-349.243.177,240.0,1597004.3
apartment,Pernambuco,Northeast,-8.021.971,-34.931.366,204.0,1097940.43
apartment,Pernambuco,Northeast,-8.149.876,-34.910.686,78.0,299438.28
apartment,Pernambuco,Northeast,-8.035.618,-3.489.333,149.0,1096942.3
apartment,Pernambuco,Northeast,-8.037.489,-3.489.537,80.0,439176.16
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,79.0,474110.62
house,Pernambuco,Northeast,-80.356.845,-349.234.524,238.0,1447285.12
apartment,Pernambuco,Northeast,-8.116.955,-34.896.206,128.0,743605.12
