,property_type,state,lat,lon,area_m2,price_usd
0,house,Estado de México,19.560.181,-99.233.528,150.0,67965.56
1,house,Nuevo León,256.884.355,-1.001.988.071,186.0,63223.78
2,apartment,Guerrero,16.767.704,-99.764.383,82.0,84298.37
3,apartment,Guerrero,16.829.782,-99.911.012,150.0,94308.8
5,house,Yucatán,210.525.830.247,-895.386.385.918,205.0,105191.37
6,house,Querétaro,207.163.149,-1.004.525.027,320.0,274034.68
9,house,Morelos,188.126.047,-989.548.261,281.0,151509.56
10,house,Chiapas,16.769.737,-93.088.928,140.0,79029.72
11,house,Estado de México,19.305.407.331,-99.646.948.278,235.0,115937.75
12,house,Morelos,18.804.197,-98.932.816,117.0,63223.78
13,apartment,Guerrero,16.775.165,-99.789.939,117.0,157269.15
14,house,Yucatán,210.483.333,-896.780.555,193.0,104607.47
15,house,Estado de México,19.560.181,-99.233.528,85.0,63238.77
16,house,Tabasco,180.140.820.847,-92.896.399.498,135.0,77994.48
17,apartment,Distrito Federal,19.390.748,-99.158.695,127.0,131716.2
18,apartment,Yucatán,213.371.507.411,-893.226.885.796,208.0,203167.1
19,house,Distrito Federal,19.337.652,-992.233.268,297.0,264390.77
20,house,Nayarit,21.518.174,-1.049.074.948,173.0,63238.77
21,house,Morelos,18.855.343,-99.241.142,73.0,36775.16
22,apartment,Puebla,190.248.763,-981.945.109,170.0,173570.3
23,apartment,Distrito Federal,19.403.334,-99.157.755,129.0,131716.2
24,apartment,Distrito Federal,19.428.152,-99.106.194,68.0,67175.26
25,house,Puebla,18.991.881,-98.275.275,334.0,262905.55
26,house,Veracruz de Ignacio de la Llave,25.624.891,-103.397.214,106.0,40041.72
27,house,Yucatán,20.997.143,-89.601.028,132.0,64556.24
28,house,Sinaloa,23.239.141,-106.412.613,104.0,44783.51
29,apartment,Distrito Federal,19.430.141,-99.172.536,97.0,104846.1
31,house,Estado de México,19.538.595,-99.180.214,200.0,158059.45
33,apartment,Yucatán,21.030.668,-89.599.258,80.0,84845.35
34,house,Tabasco,178.931.239.971,-929.212.732.315,70.0,39514.86
35,house,Chiapas,16.717.077,-93.162.903,240.0,158059.45
38,house,Tamaulipas,223.261.979,-978.885.244,188.0,92223.21
39,house,Yucatán,210.231.861,-895.863.038,253.0,129639.48
40,apartment,Distrito Federal,1.939.365,-9.914.769,128.0,120125.18
41,house,Veracruz de Ignacio de la Llave,25.569.582,-10.333.239,350.0,158059.45
43,house,Veracruz de Ignacio de la Llave,25.581.369,-103.377.648,133.0,51632.75
45,house,Puebla,190.412.967,-982.061.996,250.0,155461.98
46,house,Distrito Federal,19.390.301,-9.911.161,187.0,126447.56
48,house,Veracruz de Ignacio de la Llave,19.101.803,-96.163.884,127.0,51662.25
49,apartment,Puebla,19.026.517,-98.214.364,102.0,97598.5
50,house,Jalisco,23.634.501,-102.552.788,107.0,57955.13
51,house,Yucatán,21.075.163,-89.516.731,242.0,108534.15
52,house,Distrito Federal,193.605.334,-992.267.067,245.0,247626.47
53,apartment,Distrito Federal,19.351.369,-99.248.993,90.0,86300.46
54,apartment,Distrito Federal,19.412.142,-99.146.127,75.0,44794.13
55,apartment,Puebla,18.987.232,-98.206.947,93.0,40841.7
57,house,Estado de México,19.715.134,-99.214.828,126.0,95309.84
58,house,Distrito Federal,19.374.069,-9.901.932,300.0,150719.07
59,house,San Luis Potosí,22.133.745,-101.016.029,132.0,81683.41
60,house,Morelos,18.804.197,-98.932.816,130.0,65858.1
61,apartment,Yucatán,210.294.432,-896.322.061,237.0,192087.77
62,house,Sinaloa,248.093.254,-1.074.692.179,96.0,60603.82
63,apartment,Distrito Federal,1.933.923,-99.218.987,102.0,237089.17
64,house,Baja California,32.493.049,-116.907.481,76.0,41095.45
65,house,Hidalgo,201.254.846,-987.362.998,229.0,158096.93
66,house,Morelos,18.960.244,-99.212.962,305.0,227351.46
67,house,Puebla,23.634.501,-102.552.788,128.0,67438.69
68,house,Estado de México,195.380.802.461,-992.384.793.394,240.0,136984.85
69,house,Quintana Roo,21.129.547,-86.817.017,135.0,93781.94
70,house,Nuevo León,255.683.841,-1.002.439.723,320.0,205477.28
73,apartment,Tamaulipas,22.217.112,-97.854.477,170.0,43887.84
74,house,Guerrero,16.860.338,-99.870.399,168.0,94835.67
76,house,Veracruz de Ignacio de la Llave,19.109.509,-96.111.477,220.0,105372.96
77,house,Guerrero,16.771.518,-99.772.466,180.0,79029.72
78,house,Querétaro,23.634.501,-102.552.788,250.0,176499.72
79,apartment,Yucatán,210.307.114,-896.181.018,157.0,81630.71
80,house,Querétaro,206.536.084,-1.003.469.826,128.0,105372.96
81,house,Estado de México,19.650.003,-99.220.367,135.0,126477.54
83,house,Nuevo León,25.708.134,-100.145.821,60.0,34254.33
84,house,Nuevo León,25.751.371,-100.238.281,185.0,72707.34
85,apartment,Distrito Federal,19.351.371,-99.161.529,60.0,35563.37
86,house,Distrito Federal,19.298.899,-99.208.048,300.0,207057.88
87,house,Veracruz de Ignacio de la Llave,25.581.989,-103.378.005,220.0,76395.4
88,house,Tamaulipas,26.074.236,-98.349.915,200.0,126447.56
89,house,Quintana Roo,211.504.824.698,-868.156.854.808,261.0,216014.58
91,house,Jalisco,20.785.506,-103.442.286,98.0,52423.05
92,apartment,Distrito Federal,19.374.421,-9.913.907,72.0,118386.52
93,house,Yucatán,2.099.947,-89.642.815,211.0,63238.77
95,house,Estado de México,19.533.243,-99.227.295,200.0,173865.39
96,house,Querétaro,20.705.742,-100.444.016,300.0,226551.88
97,house,Sonora,29.058.504,-110.978.981,185.0,34254.33
98,house,Puebla,1.899.466,-982.761.016,178.0,139652.29
99,house,Sinaloa,24.754.314,-107.402.241,280.0,84298.37
101,house,Estado de México,19.544.106,-99.112.656,131.0,68492.42
103,house,Chihuahua,286.329.957,-1.060.691.004,115.0,63238.77
104,house,Yucatán,20.992.149.142,-895.655.331.016,121.0,65873.72
105,house,San Luis Potosí,22.141.575,-100.900.192,108.0,50591.01
106,house,Distrito Federal,19.499.857,-99.097.517,300.0,126447.56
107,apartment,Distrito Federal,19.381.729,-99.164.986,80.0,142253.5
108,house,Morelos,18.942.068,-99.242.531,290.0,242415.29
109,house,Puebla,19.087.196,-98.288.637,148.0,72707.34
110,house,Veracruz de Ignacio de la Llave,191.616.453,-96.154.687,290.0,147557.13
111,house,Puebla,18.989.595,-98.203.529,200.0,150192.08
112,house,Morelos,18.917.542,-98.963.181,220.0,110641.61
114,house,Yucatán,209.993.534,-895.910.162,192.0,86953.31
116,house,Baja California Sur,241.499.447.277,-1.103.169.306.368,176.0,131747.44
118,apartment,Distrito Federal,19.384.533,-99.183.172,120.0,189716.32
119,house,Distrito Federal,19.317.922,-99.236.124,350.0,176499.72
120,house,Estado de México,19.696.592,-99.231.445,87.0,152000.5
121,apartment,Distrito Federal,193.825.040.623,-991.580.399.126,78.0,137017.34
122,apartment,Distrito Federal,19.401.819,-99.184.615,75.0,78502.86
123,house,Puebla,18.998.509,-98.179.484,200.0,102738.64
124,apartment,San Luis Potosí,221.418,-101.027.344,114.0,88270.78
125,house,Yucatán,21.072.905,-8.965.963,266.0,111721.83
126,house,Nuevo León,256.318.511,-100.170.963,204.0,51644.99
127,house,Estado de México,19.283.869,-99.588.992,70.0,57006.77
128,house,Jalisco,20.532.827,-103.483.829,155.0,110641.61
129,house,Morelos,18.918.608,-98.941.094,247.0,142287.24
130,apartment,Jalisco,20.649.012,-103.448.288,88.0,82875.83
131,house,Yucatán,21.030.668,-89.599.258,175.0,120944.15
132,house,Zacatecas,23.634.501,-102.552.788,170.0,89567.02
133,apartment,Distrito Federal,19.380.937,-99.179.545,98.0,197100.13
134,apartment,Estado de México,19.559.799,-99.233.795,60.0,34599.16
135,house,Yucatán,21.072.905,-8.965.963,127.0,47417.83
136,house,Distrito Federal,19.367.215,-99.222.138,180.0,116173.69
138,house,Puebla,19.044.477,-98.328.011,326.0,326733.66
139,house,Veracruz de Ignacio de la Llave,18.134.026,-94.476.112,210.0,247626.47
140,house,Veracruz de Ignacio de la Llave,25.572.505,-103.425.036,330.0,121178.91
142,house,Estado de México,19.290.517,-99.694.921,157.0,105372.96
143,house,Jalisco,20.788.616,-103.435.217,156.0,123813.23
144,apartment,Nuevo León,256.526.883,-1.004.122.654,101.0,160866.42
145,house,Nuevo León,25.680.067,-100.458.626,336.0,142253.5
146,house,Estado de México,19.305.643,-98.901.535,120.0,42159.18
147,house,Estado de México,19.684.991,-99.225.298,60.0,37670.83
148,house,Yucatán,21.008.295,-89.591.019,282.0,123052.11
149,apartment,Guerrero,168.572.859,-999.089.643,130.0,104870.96
150,house,San Luis Potosí,22.093.321,-100.895.958,110.0,46840.27
151,house,Puebla,23.634.501,-102.552.788,156.0,94835.67
152,house,San Luis Potosí,221.387.477,-1.010.181.525,200.0,97469.99
153,house,Estado de México,19.428.043,-99.227.384,309.0,306529.96
154,house,Hidalgo,20.059.217,-98.790.423,200.0,136984.85
155,house,Yucatán,21.292.982,-89.603.973,100.0,139652.29
156,house,Morelos,18.903.454,-99.056.687,145.0,89567.02
157,house,Distrito Federal,19.411.699,-99.166.247,120.0,230874.8
158,house,Morelos,188.917.916.491,-992.227.220.535,183.0,147557.13
159,house,Yucatán,210.424.858,-895.568.382,107.0,50579.02
160,apartment,Querétaro,20.711.874,-100.448.934,140.0,102211.77
161,apartment,Distrito Federal,19.428.152,-99.106.194,67.0,79029.72
162,house,Estado de México,19.234.822,-99.559.659,115.0,105372.96
163,house,Estado de México,19.558.449,-9.922.973,180.0,67965.56
164,house,Chihuahua,28.652.079,-106.109.581,227.0,110641.61
166,house,Nuevo León,25.707.024,-10.021.376,250.0,110667.85
167,house,Aguascalientes,21.878.481,-102.332.787,215.0,136490.35
168,house,Veracruz de Ignacio de la Llave,19.155.567,-9.613.928,165.0,60589.45
169,house,Hidalgo,200.568.798.423,-987.653.755.526,200.0,68508.67
170,house,Nuevo León,25.634.661,-100.295.769,242.0,76413.51
171,apartment,Distrito Federal,19.367.931,-99.170.262,120.0,120652.04
172,house,Distrito Federal,19.360.526,-99.301.674,220.0,87703.06
173,house,Distrito Federal,19.464.398,-99.113.317,304.0,259470.39
174,house,Puebla,1.901.195,-98.219.383,385.0,237089.17
176,apartment,Yucatán,212.929.822,-896.039.725,255.0,236144.12
177,house,Distrito Federal,19.351.396,-99.130.999,225.0,237089.17
178,house,Morelos,1.893.409,-99.254.997,218.0,143530.93
179,house,Querétaro,206.990.975,-1.004.705.682,276.0,131747.44
180,house,Yucatán,21.030.668,-89.599.258,100.0,79029.72
182,house,Yucatán,20.996.355,-89.583.946,201.0,92223.21
